feature_1,feature_2,pearson,spearman,mean_abs,mean_signed
$\overline{Z}$,$\overline{m}$,0.998267,0.996828,0.997548,0.997548
$\sigma(Z)$,$\sigma(m)$,0.995366,0.993107,0.994237,0.994237
$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{g}^\mathrm{mBJ}$,0.983008,0.983599,0.983303,0.983303
$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{g}^\mathrm{PBE}$,0.981695,0.97924,0.980468,0.980468
$E_\mathrm{g}^\mathrm{PBE}$,$E_\mathrm{g}^\mathrm{mBJ}$,0.969067,0.971017,0.970042,0.970042
$\overline{Z}$,$\overline{p}$,0.965679,0.964395,0.965037,0.965037
$\overline{p}$,$\overline{m}$,0.953153,0.956034,0.954594,0.954594
$\overline{\chi}$,$\overline{I}$,0.953033,0.935235,0.944134,0.944134
$\sigma(\chi)$,$\sigma(I)$,0.877676,0.868729,0.873202,0.873202
$V$,$\overline{p}$,0.848664,0.884122,0.866393,0.866393
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(\chi)$,0.815736,0.821265,0.818501,0.818501
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(\chi)$,0.798808,0.812456,0.805632,0.805632
$V$,$\overline{Z}$,0.773633,0.80322,0.788427,0.788427
$V$,$\overline{m}$,0.764053,0.806093,0.785073,0.785073
$V$,$\overline{r}$,0.757719,0.742319,0.750019,0.750019
$\sigma(Z)$,$\sigma(p)$,0.754237,0.741517,0.747877,0.747877
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(I)$,0.765911,0.725464,0.745687,0.745687
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(\chi)$,0.733494,0.739332,0.736413,0.736413
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(I)$,0.739256,0.705407,0.722332,0.722332
$\sigma(p)$,$\sigma(m)$,0.712429,0.713542,0.712985,0.712985
$\overline{r}$,$\overline{I}$,-0.669312,-0.709322,0.689317,-0.689317
$\overline{|n|}$,$\sigma(\chi)$,-0.685472,-0.689654,0.687563,-0.687563
$V$,$\overline{I}$,-0.63142,-0.727484,0.679452,-0.679452
$V$,$E_\mathrm{coh}$,0.649546,0.699056,0.674301,0.674301
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(I)$,0.67706,0.644769,0.660915,0.660915
$E_\mathrm{coh}$,$\overline{p}$,0.655152,0.661131,0.658141,0.658141
$\overline{p}$,$\overline{I}$,-0.629449,-0.667871,0.64866,-0.64866
$\overline{r}$,$\overline{\chi}$,-0.624399,-0.64753,0.635964,-0.635964
$E_\mathrm{coh}$,$\overline{m}$,0.615669,0.646322,0.630996,0.630996
$E_\mathrm{coh}$,$\overline{Z}$,0.621074,0.640524,0.630799,0.630799
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{|n|}$,-0.610355,-0.649929,0.630142,-0.630142
$\overline{p}$,$\overline{r}$,0.62683,0.626622,0.626726,0.626726
$V$,$\overline{\chi}$,-0.581036,-0.666805,0.62392,-0.62392
$E_\mathrm{g}^\mathrm{GW}$,$\overline{|n|}$,-0.590366,-0.631302,0.610834,-0.610834
$E_\mathrm{coh}$,$\overline{\chi}$,-0.59184,-0.622049,0.606944,-0.606944
$E_\mathrm{coh}$,$\overline{I}$,-0.577375,-0.621961,0.599668,-0.599668
$\overline{p}$,$\overline{\chi}$,-0.569309,-0.600563,0.584936,-0.584936
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{|n|}$,-0.549124,-0.592696,0.57091,-0.57091
$\overline{Z}$,$\overline{I}$,-0.522927,-0.574411,0.548669,-0.548669
$\overline{m}$,$\overline{I}$,-0.518172,-0.575618,0.546895,-0.546895
$E_\mathrm{g}^\mathrm{GW}$,$\overline{I}$,0.598165,0.48537,0.541768,0.541768
$E_\mathrm{g}^\mathrm{GW}$,$\overline{Z}$,-0.521601,-0.548721,0.535161,-0.535161
$\overline{r}$,$\sigma(r)$,0.565979,0.500696,0.533338,0.533338
$\sigma(r)$,$\sigma(\chi)$,0.562424,0.501681,0.532053,0.532053
$E_\mathrm{g}^\mathrm{GW}$,$\overline{\chi}$,0.574083,0.482893,0.528488,0.528488
$\overline{m}$,$\sigma(m)$,0.47416,0.57238,0.52327,0.52327
$E_\mathrm{g}^\mathrm{GW}$,$\overline{m}$,-0.514031,-0.529913,0.521972,-0.521972
$E_\mathrm{g}^\mathrm{GW}$,$\overline{p}$,-0.522653,-0.513424,0.518038,-0.518038
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{Z}$,-0.502314,-0.532732,0.517523,-0.517523
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{Z}$,-0.507388,-0.522236,0.514812,-0.514812
$\sigma(r)$,$\sigma(I)$,0.544934,0.482817,0.513876,0.513876
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{m}$,-0.496907,-0.515642,0.506274,-0.506274
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{I}$,0.556276,0.454556,0.505416,0.505416
$\overline{Z}$,$\sigma(m)$,0.455317,0.548496,0.501906,0.501906
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{m}$,-0.49825,-0.503903,0.501077,-0.501077
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{p}$,-0.504052,-0.48094,0.492496,-0.492496
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{\chi}$,0.53158,0.450441,0.49101,0.49101
$E_\mathrm{g}^\mathrm{mBJ}$,$\overline{p}$,-0.48924,-0.48838,0.48881,-0.48881
$\overline{Z}$,$\sigma(I)$,-0.47188,-0.488097,0.479988,-0.479988
$\overline{Z}$,$\overline{r}$,0.470682,0.484904,0.477793,0.477793
$\overline{|n|}$,$\sigma(I)$,-0.464107,-0.489681,0.476894,-0.476894
$\overline{m}$,$\overline{r}$,0.45766,0.490601,0.474131,0.474131
$\overline{Z}$,$\sigma(\chi)$,-0.468785,-0.479263,0.474024,-0.474024
$\overline{m}$,$\sigma(I)$,-0.472825,-0.473039,0.472932,-0.472932
$\overline{\chi}$,$\sigma(I)$,0.496075,0.447107,0.471591,0.471591
$\overline{Z}$,$\overline{\chi}$,-0.449306,-0.488629,0.468968,-0.468968
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{I}$,0.520877,0.416728,0.468802,0.468802
$\overline{m}$,$\sigma(\chi)$,-0.47242,-0.464311,0.468365,-0.468365
$\overline{m}$,$\overline{\chi}$,-0.446105,-0.489298,0.467702,-0.467702
$\overline{m}$,$\sigma(Z)$,0.412571,0.505991,0.459281,0.459281
$\overline{I}$,$\sigma(I)$,0.493362,0.420641,0.457002,0.457002
$E_\mathrm{g}^\mathrm{PBE}$,$\overline{\chi}$,0.495771,0.415758,0.455765,0.455765
$\overline{p}$,$\sigma(I)$,-0.435182,-0.449278,0.44223,-0.44223
$\overline{Z}$,$\sigma(Z)$,0.393265,0.48165,0.437458,0.437458
$\overline{I}$,$\sigma(\chi)$,0.456501,0.414742,0.435621,0.435621
$\overline{p}$,$\sigma(\chi)$,-0.404174,-0.419632,0.411903,-0.411903
$\overline{|n|}$,$\sigma(r)$,-0.424673,-0.389931,0.407302,-0.407302
$\overline{\chi}$,$\sigma(\chi)$,0.417881,0.386826,0.402354,0.402354
$\overline{p}$,$\sigma(m)$,0.376263,0.42417,0.400216,0.400216
$E_\mathrm{coh}$,$\overline{r}$,0.408332,0.38702,0.397676,0.397676
$E_\mathrm{g}^\mathrm{PBE}$,$E_\mathrm{coh}$,-0.396658,-0.395793,0.396225,-0.396225
$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{coh}$,-0.383252,-0.400284,0.391768,-0.391768
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(m)$,-0.375599,-0.372044,0.373822,-0.373822
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(m)$,-0.371944,-0.371622,0.371783,-0.371783
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(m)$,-0.369018,-0.36806,0.368539,-0.368539
$E_\mathrm{coh}$,$\sigma(m)$,0.363573,0.369804,0.366688,0.366688
$E_\mathrm{g}^\mathrm{mBJ}$,$E_\mathrm{coh}$,-0.338522,-0.353062,0.345792,-0.345792
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(Z)$,-0.353,-0.338337,0.345668,-0.345668
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(Z)$,-0.350113,-0.337578,0.343846,-0.343846
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(Z)$,-0.347652,-0.336695,0.342173,-0.342173
$E_\mathrm{coh}$,$\overline{|n|}$,-0.368667,-0.310622,0.339645,-0.339645
$\overline{p}$,$\sigma(Z)$,0.313289,0.354025,0.333657,0.333657
$E_\mathrm{coh}$,$\sigma(Z)$,0.334454,0.329134,0.331794,0.331794
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(r)$,0.339445,0.314637,0.327041,0.327041
$E_\mathrm{coh}$,$\sigma(I)$,-0.28948,-0.330941,0.310211,-0.310211
$V$,$\sigma(m)$,0.289762,0.3298,0.309781,0.309781
$\overline{|n|}$,$\overline{r}$,-0.314538,-0.298888,0.306713,-0.306713
$\overline{I}$,$\sigma(m)$,-0.282988,-0.307977,0.295483,-0.295483
$V$,$\overline{|n|}$,-0.315704,-0.25721,0.286457,-0.286457
