,$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{g}^\mathrm{PBE}$,$E_\mathrm{g}^\mathrm{mBJ}$,$V$,$E_\mathrm{coh}$,$\overline{|n|}$,$\overline{Z}$,$\overline{p}$,$\overline{m}$,$\overline{r}$,$\overline{\chi}$,$\overline{I}$,$\sigma(|n|)$,$\sigma(Z)$,$\sigma(p)$,$\sigma(m)$,$\sigma(r)$,$\sigma(\chi)$,$\sigma(I)$
$E_\mathrm{g}^\mathrm{GW}$,1.0,0.981695,0.983008,-0.224615,-0.383252,-0.590366,-0.521601,-0.522653,-0.514031,-0.141426,0.574083,0.598165,-0.104441,-0.350113,-0.112434,-0.371944,0.267858,0.798808,0.739256
$E_\mathrm{g}^\mathrm{PBE}$,0.981695,1.0,0.969067,-0.194016,-0.396658,-0.549124,-0.507388,-0.504052,-0.49825,-0.115709,0.495771,0.520877,-0.164391,-0.347652,-0.146411,-0.369018,0.218381,0.733494,0.67706
$E_\mathrm{g}^\mathrm{mBJ}$,0.983008,0.969067,1.0,-0.174095,-0.338522,-0.610355,-0.502314,-0.48924,-0.496907,-0.075903,0.53158,0.556276,-0.131477,-0.353,-0.095728,-0.375599,0.339445,0.815736,0.765911
$V$,-0.224615,-0.194016,-0.174095,1.0,0.649546,-0.315704,0.773633,0.848664,0.764053,0.757719,-0.581036,-0.63142,-0.130783,0.236199,-0.086993,0.289762,0.25298,-0.173085,-0.237503
$E_\mathrm{coh}$,-0.383252,-0.396658,-0.338522,0.649546,1.0,-0.368667,0.621074,0.655152,0.615669,0.408332,-0.59184,-0.577375,0.040006,0.334454,0.024818,0.363573,0.072944,-0.252397,-0.28948
$\overline{|n|}$,-0.590366,-0.549124,-0.610355,-0.315704,-0.368667,1.0,0.046895,-0.018826,0.044294,-0.314538,0.035155,-0.015435,0.039296,0.020744,-0.020729,0.025159,-0.424673,-0.685472,-0.464107
$\overline{Z}$,-0.521601,-0.507388,-0.502314,0.773633,0.621074,0.046895,1.0,0.965679,0.998267,0.470682,-0.449306,-0.522927,-0.128961,0.393265,0.030161,0.455317,0.058956,-0.468785,-0.47188
$\overline{p}$,-0.522653,-0.504052,-0.48924,0.848664,0.655152,-0.018826,0.965679,1.0,0.953153,0.62683,-0.569309,-0.629449,-0.141635,0.313289,-0.00639,0.376263,0.165497,-0.404174,-0.435182
$\overline{m}$,-0.514031,-0.49825,-0.496907,0.764053,0.615669,0.044294,0.998267,0.953153,1.0,0.45766,-0.446105,-0.518172,-0.123941,0.412571,0.03858,0.47416,0.044713,-0.47242,-0.472825
$\overline{r}$,-0.141426,-0.115709,-0.075903,0.757719,0.408332,-0.314538,0.470682,0.62683,0.45766,1.0,-0.624399,-0.669312,-0.05588,0.147015,0.057801,0.178974,0.565979,0.082604,0.063325
$\overline{\chi}$,0.574083,0.495771,0.53158,-0.581036,-0.59184,0.035155,-0.449306,-0.569309,-0.446105,-0.624399,1.0,0.953033,0.0393,-0.232863,0.076702,-0.261288,0.015501,0.417881,0.496075
$\overline{I}$,0.598165,0.520877,0.556276,-0.63142,-0.577375,-0.015435,-0.522927,-0.629449,-0.518172,-0.669312,0.953033,1.0,0.057365,-0.252757,0.059943,-0.282988,0.020529,0.456501,0.493362
$\sigma(|n|)$,-0.104441,-0.164391,-0.131477,-0.130783,0.040006,0.039296,-0.128961,-0.141635,-0.123941,-0.05588,0.0393,0.057365,1.0,0.083598,0.165111,0.072373,0.116057,0.002663,0.079681
$\sigma(Z)$,-0.350113,-0.347652,-0.353,0.236199,0.334454,0.020744,0.393265,0.313289,0.412571,0.147015,-0.232863,-0.252757,0.083598,1.0,0.754237,0.995366,0.00406,-0.230471,-0.227775
$\sigma(p)$,-0.112434,-0.146411,-0.095728,-0.086993,0.024818,-0.020729,0.030161,-0.00639,0.03858,0.057801,0.076702,0.059943,0.165111,0.754237,1.0,0.712429,0.309616,0.141004,0.153838
$\sigma(m)$,-0.371944,-0.369018,-0.375599,0.289762,0.363573,0.025159,0.455317,0.376263,0.47416,0.178974,-0.261288,-0.282988,0.072373,0.995366,0.712429,1.0,0.004463,-0.259789,-0.257366
$\sigma(r)$,0.267858,0.218381,0.339445,0.25298,0.072944,-0.424673,0.058956,0.165497,0.044713,0.565979,0.015501,0.020529,0.116057,0.00406,0.309616,0.004463,1.0,0.562424,0.544934
$\sigma(\chi)$,0.798808,0.733494,0.815736,-0.173085,-0.252397,-0.685472,-0.468785,-0.404174,-0.47242,0.082604,0.417881,0.456501,0.002663,-0.230471,0.141004,-0.259789,0.562424,1.0,0.877676
$\sigma(I)$,0.739256,0.67706,0.765911,-0.237503,-0.28948,-0.464107,-0.47188,-0.435182,-0.472825,0.063325,0.496075,0.493362,0.079681,-0.227775,0.153838,-0.257366,0.544934,0.877676,1.0
