,$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{g}^\mathrm{PBE}$,$E_\mathrm{g}^\mathrm{mBJ}$,$V$,$E_\mathrm{coh}$,$\overline{|n|}$,$\overline{Z}$,$\overline{p}$,$\overline{m}$,$\overline{r}$,$\overline{\chi}$,$\overline{I}$,$\sigma(|n|)$,$\sigma(Z)$,$\sigma(p)$,$\sigma(m)$,$\sigma(r)$,$\sigma(\chi)$,$\sigma(I)$
$E_\mathrm{g}^\mathrm{GW}$,1.0,0.97924,0.983599,-0.254659,-0.400284,-0.631302,-0.548721,-0.513424,-0.529913,-0.115943,0.482893,0.48537,-0.13411,-0.337578,-0.074937,-0.371622,0.269055,0.812456,0.705407
$E_\mathrm{g}^\mathrm{PBE}$,0.97924,1.0,0.971017,-0.210607,-0.395793,-0.592696,-0.522236,-0.48094,-0.503903,-0.081091,0.415758,0.416728,-0.188734,-0.336695,-0.100671,-0.36806,0.224063,0.739332,0.644769
$E_\mathrm{g}^\mathrm{mBJ}$,0.983599,0.971017,1.0,-0.230607,-0.353062,-0.649929,-0.532732,-0.48838,-0.515642,-0.083343,0.450441,0.454556,-0.145226,-0.338337,-0.065436,-0.372044,0.314637,0.821265,0.725464
$V$,-0.254659,-0.210607,-0.230607,1.0,0.699056,-0.25721,0.80322,0.884122,0.806093,0.742319,-0.666805,-0.727484,-0.094275,0.270363,-0.027014,0.3298,0.212174,-0.237342,-0.299954
$E_\mathrm{coh}$,-0.400284,-0.395793,-0.353062,0.699056,1.0,-0.310622,0.640524,0.661131,0.646322,0.38702,-0.622049,-0.621961,0.084343,0.329134,-0.031169,0.369804,0.057254,-0.314321,-0.330941
$\overline{|n|}$,-0.631302,-0.592696,-0.649929,-0.25721,-0.310622,1.0,0.096634,0.030606,0.068305,-0.298888,0.072111,0.045752,0.085538,0.027058,-0.027181,0.037126,-0.389931,-0.689654,-0.489681
$\overline{Z}$,-0.548721,-0.522236,-0.532732,0.80322,0.640524,0.096634,1.0,0.964395,0.996828,0.484904,-0.488629,-0.574411,-0.122541,0.48165,0.129094,0.548496,0.074861,-0.479263,-0.488097
$\overline{p}$,-0.513424,-0.48094,-0.48838,0.884122,0.661131,0.030606,0.964395,1.0,0.956034,0.626622,-0.600563,-0.667871,-0.135311,0.354025,0.024895,0.42417,0.169452,-0.419632,-0.449278
$\overline{m}$,-0.529913,-0.503903,-0.515642,0.806093,0.646322,0.068305,0.996828,0.956034,1.0,0.490601,-0.489298,-0.575618,-0.114415,0.505991,0.150556,0.57238,0.080114,-0.464311,-0.473039
$\overline{r}$,-0.115943,-0.081091,-0.083343,0.742319,0.38702,-0.298888,0.484904,0.626622,0.490601,1.0,-0.64753,-0.709322,-0.042961,0.190373,0.105328,0.230093,0.500696,0.057816,0.044572
$\overline{\chi}$,0.482893,0.415758,0.450441,-0.666805,-0.622049,0.072111,-0.488629,-0.600563,-0.489298,-0.64753,1.0,0.935235,-0.054365,-0.247249,0.083074,-0.28308,-0.026835,0.386826,0.447107
$\overline{I}$,0.48537,0.416728,0.454556,-0.727484,-0.621961,0.045752,-0.574411,-0.667871,-0.575618,-0.709322,0.935235,1.0,-0.029113,-0.2679,0.070134,-0.307977,0.026124,0.414742,0.420641
$\sigma(|n|)$,-0.13411,-0.188734,-0.145226,-0.094275,0.084343,0.085538,-0.122541,-0.135311,-0.114415,-0.042961,-0.054365,-0.029113,1.0,0.097907,0.066004,0.086608,0.190165,0.021049,0.116037
$\sigma(Z)$,-0.337578,-0.336695,-0.338337,0.270363,0.329134,0.027058,0.48165,0.354025,0.505991,0.190373,-0.247249,-0.2679,0.097907,1.0,0.741517,0.993107,0.00775,-0.212111,-0.215772
$\sigma(p)$,-0.074937,-0.100671,-0.065436,-0.027014,-0.031169,-0.027181,0.129094,0.024895,0.150556,0.105328,0.083074,0.070134,0.066004,0.741517,1.0,0.713542,0.217473,0.137152,0.139894
$\sigma(m)$,-0.371622,-0.36806,-0.372044,0.3298,0.369804,0.037126,0.548496,0.42417,0.57238,0.230093,-0.28308,-0.307977,0.086608,0.993107,0.713542,1.0,0.023322,-0.250306,-0.252018
$\sigma(r)$,0.269055,0.224063,0.314637,0.212174,0.057254,-0.389931,0.074861,0.169452,0.080114,0.500696,-0.026835,0.026124,0.190165,0.00775,0.217473,0.023322,1.0,0.501681,0.482817
$\sigma(\chi)$,0.812456,0.739332,0.821265,-0.237342,-0.314321,-0.689654,-0.479263,-0.419632,-0.464311,0.057816,0.386826,0.414742,0.021049,-0.212111,0.137152,-0.250306,0.501681,1.0,0.868729
$\sigma(I)$,0.705407,0.644769,0.725464,-0.299954,-0.330941,-0.489681,-0.488097,-0.449278,-0.473039,0.044572,0.447107,0.420641,0.116037,-0.215772,0.139894,-0.252018,0.482817,0.868729,1.0
