feature_1,feature_2,pearson,spearman,mean_abs,mean_signed
$\overline{Z}$,$\overline{m}$,0.998267,0.996828,0.997548,0.997548
$\sigma(Z)$,$\sigma(m)$,0.995366,0.993107,0.994237,0.994237
$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{g}^\mathrm{mBJ}$,0.983008,0.983599,0.983303,0.983303
$E_\mathrm{g}^\mathrm{GW}$,$E_\mathrm{g}^\mathrm{PBE}$,0.981695,0.97924,0.980468,0.980468
$E_\mathrm{g}^\mathrm{PBE}$,$E_\mathrm{g}^\mathrm{mBJ}$,0.969067,0.971017,0.970042,0.970042
$\overline{Z}$,$\overline{p}$,0.965679,0.964395,0.965037,0.965037
$\overline{p}$,$\overline{m}$,0.953153,0.956034,0.954594,0.954594
$\overline{\chi}$,$\overline{I}$,0.953033,0.935235,0.944134,0.944134
$\sigma(\chi)$,$\sigma(I)$,0.877676,0.868729,0.873202,0.873202
$V$,$\overline{p}$,0.848664,0.884122,0.866393,0.866393
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(\chi)$,0.815736,0.821265,0.818501,0.818501
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(\chi)$,0.798808,0.812456,0.805632,0.805632
$V$,$\overline{Z}$,0.773633,0.80322,0.788427,0.788427
$V$,$\overline{m}$,0.764053,0.806093,0.785073,0.785073
$V$,$\overline{r}$,0.757719,0.742319,0.750019,0.750019
$\sigma(Z)$,$\sigma(p)$,0.754237,0.741517,0.747877,0.747877
$E_\mathrm{g}^\mathrm{mBJ}$,$\sigma(I)$,0.765911,0.725464,0.745687,0.745687
$E_\mathrm{g}^\mathrm{PBE}$,$\sigma(\chi)$,0.733494,0.739332,0.736413,0.736413
$E_\mathrm{g}^\mathrm{GW}$,$\sigma(I)$,0.739256,0.705407,0.722332,0.722332
$\sigma(p)$,$\sigma(m)$,0.712429,0.713542,0.712985,0.712985
